first_name,last_name,DOB,email,contact_number,username,password
Joe,James,1998-03-19,JJames@gmail.com,8765432109,James,James987
Kayla,Oates,1995-07-04,KayO@gmail.com,4528794578,Kay,okayla
lacey,rodrigo,1975-04-25,Laceyrod@gmail.com,3546782901,lacey,lace
Divs,Jones,2000-05-23,divsjo@gmail.com,2739092765,divs,divs5r6
Eragon,P,1997-03-30,Eragon@gmail.com,6789345620,E,erag0975
Chris,Evans,1979-09-03,Chris@gmail.com,6539026457,Chris E,chris086t3i
Henry,Pickett,1976-06-07,HPickett@gmail.com,7634986231,HP,HP0864
James,Chadwick,1997-02-28,JamesCH@gmail.com,8731976452,James C,jhfbdn
Tobais,Eaton,1999-05-11,Tobais@gmail.com,7839208741,Toabais,Tob9947029
Cadbury,C,2001-10-09,CadC@gmail.com,9876340293,Cad,kjbdsla j
Sara,alley,2003-09-18,saraj@gmail.com,1234567890,Sara,0218743oidj
